Region Inflow Capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sum of Capacity (mmcfd),,year,,,,,,,,,,,,,,,,,,,,,,,,,
Region To,Region From,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1990
Canada,Midwest,"4,935","4,935","4,935","4,935","4,935","4,935","4,935","4,935","4,222","4,222","3,907","3,907","3,662","3,662","3,662","3,662","3,662","3,382","3,382","1,180","1,180","1,180","1,180","1,030",530,0
,Northeast,"2,099","2,099","2,099","2,099","1,819","1,819","1,819","1,499","1,149","1,149",731,731,731,731,731,731,515,515,415,0,0,0,0,0,0,
,Mountain,111,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,66,66,66,66,66,66,66,
,Pacific,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,0,0,0,0,0,
Canada Total,,"7,196","7,166","7,166","7,166","6,886","6,886","6,886","6,566","5,503","5,503","4,770","4,770","4,525","4,525","4,525","4,525","4,309","4,029","3,914","1,297","1,246","1,246","1,246","1,096",596,0
Mexico,Mountain,713,713,713,690,690,489,489,251,251,251,251,251,251,251,251,251,251,242,112,112,34,34,34,34,34,
,South Central,"9,457","8,324","5,824","5,254","5,114","2,799","2,197","2,197","2,197","2,147","2,147","2,087","2,087","2,087","2,049","2,062","1,667","1,232","1,232",982,797,797,589,589,589,
,Pacific,925,925,925,925,925,925,925,925,925,925,925,925,925,925,925,925,925,425,425,25,25,25,0,0,0,
Mexico Total,,"11,095","9,962","7,462","6,869","6,729","4,213","3,611","3,373","3,373","3,323","3,323","3,263","3,263","3,263","3,225","3,238","2,843","1,899","1,769","1,119",856,856,623,623,623,
Midwest,Canada,"6,098","6,098","6,098","6,098","6,098","6,098","6,098","6,098","6,098","6,098","5,993","5,993","5,748","5,748","5,748","5,748","5,748","5,468","5,468","4,748","4,720","4,594","4,531","4,512","4,262",
,Northeast,"17,516","13,854","11,865","9,511","5,096","5,096","4,652","4,652","4,502","4,502","2,725","2,725","2,725","2,705","2,705","2,705","2,705","2,705","2,705","2,705","2,705","2,705","2,681","2,670","2,670",
,Southeast,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,56,56,56,45,
,Mountain,"8,265","8,265","8,265","8,265","8,265","8,265","8,265","8,265","8,265","8,265","8,265","8,265","8,257","8,257","8,182","8,182","8,182","7,924","7,924","6,292","6,292","5,592","5,592","5,592","5,592",0
,South Central,"21,944","21,944","21,944","21,944","21,944","21,944","21,944","21,944","21,944","21,944","21,644","20,094","20,144","20,119","20,119","19,995","19,928","19,928","20,041","19,806","19,491","19,491","19,217","19,215","19,215",8
Midwest Total,,"53,974","50,312","48,323","45,969","41,554","41,554","41,110","41,110","40,960","40,960","38,778","37,228","37,025","36,980","36,905","36,781","36,714","36,176","36,289","33,702","33,359","32,438","32,077","32,045","31,784",8
Northeast,Canada,"4,535","4,484","4,426","4,426","4,426","4,426","4,426","4,426","4,426","4,426","4,008","3,773","3,773","3,773","3,773","3,544","3,544","3,329","3,151","3,136","2,580","2,545","2,418","2,418","2,293",
,Midwest,"14,322","14,322","14,322","14,322","14,322","14,322","14,322","14,322","14,322","14,322","12,522","12,522","12,522","12,502","12,502","12,502","12,502","12,502","12,502","12,502","12,195","11,890","11,866","11,855","11,605","1,848"
,Southeast,"3,035","3,035","3,035","3,035","3,035","3,035","3,035","3,035","3,035","3,035","3,035","3,035","2,870","2,870","2,870","2,817","2,817","2,587","2,587","2,587","2,587","2,587","2,587","2,587","2,472",
Northeast Total,,"21,892","21,841","21,783","21,783","21,783","21,783","21,783","21,783","21,783","21,783","19,565","19,330","19,165","19,145","19,145","18,863","18,863","18,418","18,240","18,225","17,362","17,022","16,871","16,860","16,370","1,848"
Southeast,Midwest,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,62,62,62,62,62,62,62,62,
,Northeast,"3,120","2,543","2,097","2,097","1,027","1,027","1,027","1,027","1,027","1,027","1,027",772,772,772,772,772,457,457,457,457,457,445,445,445,445,
,South Central,"13,058","12,998","12,168","12,168","12,168","12,168","12,168","11,948","10,778","10,653","10,653","10,498","10,498","10,498","10,498","10,307","9,406","7,508","7,291","7,091","7,091","6,914","6,769","6,714","6,064",
Southeast Total,,"16,400","15,763","14,487","14,487","13,417","13,417","13,417","13,197","12,027","11,902","11,902","11,492","11,492","11,492","11,492","11,301","10,085","8,027","7,810","7,610","7,610","7,421","7,276","7,221","6,571",
Mountain,Canada,"7,192","7,192","7,192","7,192","7,192","7,192","7,192","7,192","7,192","7,192","7,192","7,192","7,192","7,192","7,117","7,117","7,073","6,514","6,514","4,882","4,854","4,080","4,059","4,059","4,059",0
,Midwest,228,195,195,195,195,195,195,195,195,195,157,157,141,141,141,141,141,141,141,141,141,141,141,141,141,
,South Central,"9,642","9,460","9,460","9,460","9,460","9,460","9,460","9,460","9,460","9,460","9,460","9,460","9,428","9,428","9,428","9,108","9,108","8,788","8,788","8,788","8,788","8,788","8,739","8,624","8,624",610
,Pacific,"1,397","1,397","1,397","1,397","1,397","1,397","1,397","1,397","1,397","1,316","1,316","1,316",702,702,702,702,702,648,648,648,648,648,648,648,530,
Mountain Total,,"18,459","18,244","18,244","18,244","18,244","18,244","18,244","18,244","18,244","18,163","18,125","18,125","17,463","17,463","17,388","17,068","17,024","16,091","16,091","14,459","14,431","13,657","13,587","13,472","13,354",610
South Central,Gulf of Mexico,"22,671","22,671","22,671","22,671","23,151","23,151","23,151","23,151","23,151","23,151","24,361","24,361","24,361","24,361","24,211","24,202","23,940","23,940","23,902","23,902","23,733","21,483","19,972","18,877","18,477","1,919"
,Mexico,925,925,925,925,925,925,925,925,925,925,925,865,865,865,865,865,865,865,865,350,350,350,350,350,350,
,Midwest,"10,173","10,173","5,672","4,164","2,671","1,571","1,031","1,031","1,031","1,031",581,581,581,581,581,581,581,581,581,581,581,560,560,560,560,
,Southeast,"1,700",975,525,525,,,,,,,,,,,,,,,,,,,,,,
,Mountain,"6,269","6,269","6,269","6,269","6,269","6,524","6,524","6,524","6,524","6,524","6,224","4,634","4,576","4,576","4,198","3,628","3,628","3,580","3,497","3,411","3,411","3,411","3,126","3,126","3,126",
South Central Total,,"41,738","41,013","36,062","34,554","33,016","32,171","31,631","31,631","31,631","31,631","32,091","30,441","30,383","30,383","29,855","29,276","29,014","28,966","28,845","28,244","28,075","25,804","24,008","22,913","22,513","1,919"
Pacific,Canada,"1,832","1,832","1,832","1,832","1,832","1,832","1,832","1,832","1,832","1,832","1,832","1,832","1,832","1,832","1,832","1,676","1,676","1,676","1,676","1,676","1,676","1,676","1,595","1,561","1,480",
,Mexico,614,614,614,614,614,614,614,614,614,614,614,614,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Mountain,"13,118","12,936","12,936","12,936","12,936","12,936","12,936","12,936","11,170","11,025","11,025","11,025","11,025","11,025","10,523","10,523","9,448","8,311","8,176","8,176","8,176","8,102","8,089","8,089","8,089",
Pacific Total,,"15,564","15,382","15,382","15,382","15,382","15,382","15,382","15,382","13,616","13,471","13,471","13,471","12,857","12,857","12,355","12,199","11,124","9,987","9,852","9,852","9,852","9,778","9,684","9,650","9,569",