Major Pipeline Crossing Multiple State Borders (Capacity in MMcfd),,,,,,,,,,,,,,,,
,Gulf South Pipeline Co,M1 Back,Louisiana,Texas,20,20,20,20,20,20,20,20,20,20,20,20
,Gulf South Pipeline Co,Gulf South System,Max Capacity,,"3,296","3,296","3,296","3,296","3,296","3,296","3,296","3,296","3,296","2,730","2,730","1,030"
,,,,,,,,,,,,,,,,
,Gulfstream Natural Gas System (via the Gulf of Mexico),M1,Alabama,Florida,"1,285","1,285","1,285","1,285","1,285","1,285","1,285","1,285","1,285","1,285","1,285","1,130"
,Gulfstream Natural Gas System (via the Gulf of Mexico),Main Line,Max Capacity,,"1,285","1,285","1,285","1,285","1,285","1,285","1,285","1,285","1,285","1,285","1,285","1,130"
,,,,,,,,,,,,,,,,
,Iroquois Pipeline Co,M1,Ontario,New York,"1,150","1,150","1,150","1,150","1,150","1,150","1,150","1,150","1,150","1,150","1,150","1,150"
,Iroquois Pipeline Co,M2,New York,Connecticut,866,866,866,866,866,866,866,866,866,866,866,773
,Iroquois Pipeline Co,M3,Connecticut,New York,620,620,620,620,620,620,620,620,620,620,520,420
,Iroquois Pipeline Co,Main Line,Max Capacity,,"1,150","1,150","1,150","1,150","1,150","1,150","1,150","1,150","1,150","1,150","1,150","1,150"
,,,,,,,,,,,,,,,,
,Kern River Gas Trans Co,M1,Wyoming,Utah,"2,276","2,276","2,276","2,276","2,276","2,276","2,276","2,276","2,010","1,865","1,865","1,865"
,Kern River Gas Trans Co,M2,Utah,Nevada,"2,445","2,445","2,445","2,445","2,445","2,445","2,445","2,445","2,179","2,034","2,034","2,034"
,Kern River Gas Trans Co,M3,Nevada,California,"2,146","2,146","2,146","2,146","2,146","2,146","2,146","2,146","1,880","1,735","1,735","1,735"
,Kern River Gas Trans Co,Main Line,Max Capacity,,"2,445","2,445","2,445","2,445","2,445","2,445","2,445","2,445","2,179","2,034","2,034","2,034"
,,,,,,,,,,,,,,,,
,Maritimes/Northeast PL Co,M1,New Brunswick,Maine,833,833,833,833,833,833,833,833,833,833,415,415
,Maritimes/Northeast PL Co,M2,Maine,New Hampshire,835,833,833,833,833,833,833,833,833,833,628,628
,Maritimes/Northeast PL Co,M3,New Hampshire,Massachusetts,835,833,833,833,833,833,833,833,833,833,628,628
,Maritimes/Northeast PL Co,M1 Back,Maine,New Brunswick,833,833,833,833,833,833,833,833,833,833,415,415
,Maritimes/Northeast PL Co,Main Line,Max Capacity (Northward),,833,833,833,833,833,833,833,833,833,833,415,415
,Maritimes/Northeast PL Co,Main Line,Max Capacity (Southward),,835,833,833,833,833,833,833,833,833,833,628,628
,,,,,,,,,,,,,,,,
,Midcontinent Express Pipeline LLC,M1,Oklahoma,Texas,"1,833","1,833","1,833","1,833","1,833","1,833","1,833","1,833","1,833","1,533",0,0
,Midcontinent Express Pipeline LLC,M2,Texas,Louisiana,"1,833","1,833","1,833","1,833","1,833","1,833","1,833","1,833","1,833","1,533",0,0
,Midcontinent Express Pipeline LLC,M3,Louisiana,Mississippi,"1,533","1,533","1,533","1,533","1,533","1,533","1,533","1,533","1,533","1,533",0,0
,Midcontinent Express Pipeline LLC,M4,Mississippi,Alabama,"1,533","1,533","1,533","1,533","1,533","1,533","1,533","1,533","1,533","1,533",0,0
,Midcontinent Express Pipeline LLC,Main Line,Max Capacity,,"1,833","1,833","1,833","1,833","1,833","1,833","1,833","1,833","1,833","1,533",0,0
,,,,,,,,,,,,,,,,
,Midwestern Gas Trans Co,M1,Tennessee,Kentucky,665,665,665,665,665,665,665,665,665,665,665,665
,Midwestern Gas Trans Co,M2,Kentucky,Indiana,664,664,664,664,664,664,664,664,664,664,664,664
,Midwestern Gas Trans Co,M3,Indiana,Illinois,500,500,500,500,500,500,500,500,500,650,650,650
,Midwestern Gas Trans Co,M3 Back,Illinois,Indiana,715,715,715,715,715,715,715,715,715,565,565,565
,Midwestern Gas Trans Co,M2 Back,Indiana,Kentucky,350,350,350,350,350,350,350,350,350,350,350,350
,Midwestern Gas Trans Co,M1 Back,Kentucky,Tennessee,350,350,350,350,350,350,350,350,350,350,350,350
,Midwestern Gas Trans Co,Main Line,Max Capacity (Northward),,665,665,665,665,665,665,665,665,665,665,665,665
,Midwestern Gas Trans Co,Main Line,Max Capacity (Southward),,715,715,715,715,715,715,715,715,715,565,565,565
,,,,,,,,,,,,,,,,
,Nat Gas P L Co Of America,MC1,Texas,New Mexico,550,550,550,550,550,550,550,550,550,550,550,550
,Nat Gas P L Co Of America,MC2,New Mexico,Texas,656,656,656,656,656,656,656,656,656,656,656,656
,Nat Gas P L Co Of America,MC3,Texas,Oklahoma,"1,433","1,433","1,433","1,433","1,433","1,433","1,433","1,433","1,433","1,433","1,433","1,433"
,Nat Gas P L Co Of America,MC4,Oklahoma,Kansas,"1,202","1,202","1,202","1,202","1,202","1,202","1,202","1,202","1,202","1,202","1,202","1,202"
,Nat Gas P L Co Of America,MC5,Kansas,Nebraska,"1,224","1,224","1,224","1,224","1,224","1,224","1,224","1,224","1,224","1,224","1,224","1,224"
,Nat Gas P L Co Of America,MC6,Nebraska,Iowa,"1,389","1,389","1,389","1,389","1,389","1,389","1,389","1,389","1,389","1,389","1,389","1,389"
,Nat Gas P L Co Of America,MC7,Iowa,Illinois,"1,777","1,777","1,777","1,777","1,777","1,777","1,777","1,777","1,777","1,777","1,777","1,777"
,Nat Gas P L Co Of America,MC4 Back,Kansas,Oklahoma,300,300,300,300,300,300,300,300,300,300,300,300
,Nat Gas P L Co Of America,MC3 Back,Oklahoma,Texas,"1,390","1,390","1,390","1,390","1,390","1,390","1,390","1,390","1,390","1,390","1,390","1,390"
,Nat Gas P L Co Of America,Midcontinent Line,Max Capacity,,"1,777","1,777","1,777","1,777","1,777","1,777","1,777","1,777","1,777","1,777","1,777","1,777"
,Nat Gas P L Co Of America,GC1,Louisiana,Texas,140,140,140,140,140,140,140,140,140,140,140,140
,Nat Gas P L Co Of America,GC2,Gulf of Mexico,Texas,150,150,150,150,150,150,150,150,150,150,150,150
,Nat Gas P L Co Of America,GC3,Texas,Arkansas,"1,805","1,805","1,805","1,805","1,805","1,805","1,805","1,805","1,805","1,805","1,805","1,805"
,Nat Gas P L Co Of America,GC4,Arkansas,Missouri,"1,574","1,574","1,574","1,574","1,574","1,574","1,574","1,574","1,574","1,574","1,574","1,574"
,Nat Gas P L Co Of America,GC5,Missouri,Illinois,"1,650","1,650","1,650","1,650","1,650","1,650","1,650","1,650","1,650","1,650","1,650","1,650"
,Nat Gas P L Co Of America,GC6,Illinois,Indiana,710,710,710,710,710,710,710,710,710,710,710,710
,Nat Gas P L Co Of America,GC7,Illinois,Wisconsin,55,55,55,55,55,55,55,55,55,55,55,55
,Nat Gas P L Co Of America,GC3 Back,Arkansas,Texas,"1,060",600,600,600,600,600,600,600,600,600,600,600
,Nat Gas P L Co Of America,GC1 Back,Texas,Louisiana,996,996,996,996,996,996,996,996,996,996,996,796
,Nat Gas P L Co Of America,Gulf Coast Line,Max Capacity (Northward),,"1,805","1,805","1,805","1,805","1,805","1,805","1,805","1,805","1,805","1,805","1,805","1,805"
,Nat Gas P L Co Of America,Gulf Coast Line,Max Capacity (Southward),,"1,805","1,805",996,996,996,996,996,996,996,996,996,796
,,,,,,,,,,,,,,,,
,National Fuel Gas Supply Co,M1,New York,Pennsylvania,484,484,484,484,484,484,484,484,484,484,484,484
,National Fuel Gas Supply Co,M1 Back,Pennsylvania,New York,757,757,757,757,757,757,757,437,437,437,437,437
,National Fuel Gas Supply Co,Main Line,Max Capacity (Northward),,757,757,757,757,757,757,757,437,437,437,437,437
,National Fuel Gas Supply Co,Main Line,Max Capacity (Southward),,757,757,484,484,484,484,484,484,484,484,484,484
,,,,,,,,,,,,,,,,
,North Baja Pipeline Co,M1,Arizona,California,500,500,500,500,500,500,500,500,500,500,500,500
,North Baja Pipeline Co,M2,California,Mexico,500,500,500,500,500,500,500,500,500,500,500,500
,North Baja Pipeline Co,M2 Back,Mexico,California,614,614,614,614,614,614,614,614,614,614,614,614
,North Baja Pipeline Co,M1 Back,California,Arizona,695,695,695,695,695,695,695,695,695,614,614,614
,North Baja Pipeline Co,Main Line,Max Capacity (Southward),,500,500,500,500,500,500,500,500,500,500,500,500
,North Baja Pipeline Co,Main Line,Max Capacity (Northward),,695,695,695,695,695,695,695,695,695,614,614,614
,,,,,,,,,,,,,,,,
,Northern Border Pipeline Co,M1,Saskatchewan,Montana,"2,373","2,373","2,373","2,373","2,373","2,373","2,373","2,373","2,373","2,373","2,373","2,373"
,Northern Border Pipeline Co,M2,Montana,North Dakota,"2,180","2,180","2,180","2,180","2,180","2,180","2,180","2,180","2,180","2,180","2,180","2,180"
,Northern Border Pipeline Co,M3,North Dakota,South Dakota,"2,375","2,375","2,375","2,375","2,375","2,375","2,375","2,375","2,375","2,375","2,375","2,375"
,Northern Border Pipeline Co,M4,South Dakota,Minnesota,"2,355","2,355","2,355","2,355","2,355","2,355","2,355","2,355","2,355","2,355","2,355","2,355"
,Northern Border Pipeline Co,M5,Minnesota,Iowa,"2,250","2,250","2,250","2,250","2,250","2,250","2,250","2,250","2,250","2,250","2,250","2,250"
,Northern Border Pipeline Co,M6,Iowa,Illinois,988,988,988,988,988,988,988,988,988,988,988,988
,Northern Border Pipeline Co,M7,Illinois,Indiana,917,917,917,917,917,917,917,917,917,917,917,917
,Northern Border Pipeline Co,Main Line,Max Capacity,,"2,375","2,375","2,375","2,375","2,375","2,375","2,375","2,375","2,375","2,375","2,375","2,375"
,,,,,,,,,,,,,,,,
,Northern Natural Gas Co,M1,New Mexico,Texas,245,245,245,245,245,245,245,245,245,245,245,245
,Northern Natural Gas Co,M2,Oklahoma,Texas,913,913,913,913,913,913,913,913,913,913,913,913
,Northern Natural Gas Co,M3,Texas,Oklahoma,"1,230","1,230","1,230","1,230","1,230","1,230","1,230","1,230","1,230","1,230","1,230","1,230"
,Northern Natural Gas Co,M4,Oklahoma,Kansas,"1,566","1,566","1,566","1,566","1,566","1,566","1,566","1,566","1,566","1,566","1,566","1,566"
,Northern Natural Gas Co,M5,Kansas,Nebraska,"2,172","2,172","2,172","2,172","2,172","2,172","2,172","2,172","2,172","2,172","2,172","2,172"
,Northern Natural Gas Co,M6,Nebraska,Iowa,"1,913","1,913","1,913","1,913","1,913","1,913","1,913","1,913","1,913","1,913","1,913","1,913"
,Northern Natural Gas Co,M7,Iowa,South Dakota,94,94,94,94,94,94,94,94,94,94,94,94
,Northern Natural Gas Co,M8,Iowa,Minnesota,"1,930","1,930","1,930","1,930","1,930","1,930","1,930","1,930","1,930","1,930","1,930","1,930"
,Northern Natural Gas Co,M9,Minnesota,Wisconsin,213,213,213,213,213,213,213,213,213,213,213,213
,Northern Natural Gas Co,M10,Wisconsin,Michigan,82,82,82,82,82,82,82,82,82,82,82,82
,Northern Natural Gas Co,M11,Iowa,Illinois,575,575,575,575,575,575,575,575,575,575,575,575
,Northern Natural Gas Co,M12,Illinois,Wisconsin,335,335,335,335,335,335,335,335,335,335,335,335
,Northern Natural Gas Co,L1,Nebraska,South Dakota,125,125,125,125,125,125,125,125,125,125,125,125
,Northern Natural Gas Co,L2,South Dakota,Minnesota,20,20,20,20,20,20,20,20,20,20,20,20
,Northern Natural Gas Co,L3,South Dakota,Iowa,20,20,20,20,20,20,20,20,20,20,20,20
,Northern Natural Gas Co,Main Line,Max Capacity,,"2,172","2,172","2,172","2,172","2,172","2,172","2,172","2,172","2,172","2,172","2,172","2,172"
,,,,,,,,,,,,,,,,
,Northwest Pipeline Corp,RM1,Colorado,Utah,308,308,308,308,308,308,308,308,308,158,158,158
,Northwest Pipeline Corp,RM2,Utah,Colorado,337,337,337,337,337,337,337,337,337,337,337,337
,Northwest Pipeline Corp,RM3,Utah,Wyoming,510,510,510,510,510,510,510,510,510,360,360,360
,Northwest Pipeline Corp,RM4,Wyoming,Utah,625,625,675,675,675,675,675,675,675,675,675,675
,Northwest Pipeline Corp,RM5,Utah,Idaho,680,680,675,675,675,675,675,675,675,675,675,675
,Northwest Pipeline Corp,RM6,Idaho,Oregon,429,429,429,429,429,429,429,429,429,429,429,429
,Northwest Pipeline Corp,PC1,Oregon,Washington,883,883,883,883,883,883,883,883,883,883,883,883
,Northwest Pipeline Corp,PC2,British Columbia,Washington,"1,562","1,562","1,562","1,562","1,562","1,562","1,562","1,562","1,562","1,562","1,562","1,562"
,Northwest Pipeline Corp,PC3,Washington,Oregon,"1,289","1,289","1,289","1,289","1,289","1,289","1,289","1,289","1,289","1,289","1,289","1,289"
,Northwest Pipeline Corp,PC2 Back,Washington,British Columbia,51,51,51,51,51,51,51,51,51,51,51,51
,Northwest Pipeline Corp,RM6 Back,Oregon,Idaho,481,481,481,481,481,481,481,481,481,481,481,481
,Northwest Pipeline Corp,RM5 Back,Idaho,Utah,298,298,298,298,298,298,298,298,298,298,298,298
,Northwest Pipeline Corp,L1,Idaho,Nevada,158,158,158,158,158,158,158,158,158,158,158,158
,Northwest Pipeline Corp,L2,Washington,Idaho,59,59,59,59,59,59,59,59,59,59,59,59
,Northwest Pipeline Corp,Rocky Mountain Line,Max Capacity,,680,680,675,675,675,675,675,675,675,675,675,675
,Northwest Pipeline Corp,Pacific Coast Line,Max Capacity,,883,883,"1,562","1,562","1,562","1,562","1,562","1,562","1,562","1,562","1,562","1,562"
,,,,,,,,,,,,,,,,
,Panhandle Eastern P L Co,M1,Texas,Oklahoma,445,445,445,445,445,445,445,445,445,445,445,445
,Panhandle Eastern P L Co,M2,Oklahoma,Kansas,"1,395","1,395","1,395","1,395","1,395","1,395","1,395","1,395","1,395","1,395","1,395","1,395"
,Panhandle Eastern P L Co,M3,Kansas,Missouri,"1,559","1,559","1,559","1,559","1,559","1,559","1,559","1,559","1,559","1,559","1,559","1,559"
,Panhandle Eastern P L Co,M4,Missouri,Illinois,"1,422","1,422","1,422","1,422","1,422","1,422","1,422","1,422","1,422","1,422","1,422","1,422"
,Panhandle Eastern P L Co,M5,Illinois,Indiana,"1,573","1,573","1,573","1,573","1,573","1,573","1,573","1,573","1,573","1,573","1,573","1,573"
,Panhandle Eastern P L Co,M6,Indiana,Ohio,"1,314","1,314","1,314","1,314","1,314","1,314","1,314","1,314","1,314","1,314","1,314","1,314"
,Panhandle Eastern P L Co,M7,Ohio,Michigan,960,960,960,960,960,960,960,960,960,960,960,960
,Panhandle Eastern P L Co,L1,Michigan,Ontario,150,150,150,150,150,150,150,150,150,150,150,150
,Panhandle Eastern P L Co,L2,Kansas,Colorado,45,45,45,45,45,45,45,45,45,45,45,45
,Panhandle Eastern P L Co,L3,Ohio,Indiana,"1,250",900,150,150,150,150,150,150,150,150,150,150
,Panhandle Eastern P L Co,Main Line,Max Capacity,,"1,573","1,573","1,573","1,573","1,573","1,573","1,573","1,573","1,573","1,573","1,573","1,573"
,,,,,,,,,,,,,,,,
,Portland Gas Trans Co,M1,Quebec,New Hampshire,325,274,216,216,216,216,216,216,216,216,216,216
,Portland Gas Trans Co,M2,New Hampshire,Maine,325,274,216,216,216,216,216,216,216,216,216,216
,Portland Gas Trans Co,M2 Back,Maine,New Hampshire,216,216,216,216,216,216,216,216,216,216,216,216
,Portland Gas Trans Co,M1 Back,New Hampshire,Quebec,216,216,216,216,216,216,216,216,216,216,216,216
,Portland Gas Trans Co,Main Line,Max Capacity (Southward),,325,274,216,216,216,216,216,216,216,216,216,216
,Portland Gas Trans Co,Main Line,Max Capacity (Northward),,325,274,216,216,216,216,216,216,216,216,216,216
,,,,,,,,,,,,,,,,
,Questar P L Co,M1,Colorado,Utah,255,255,255,255,255,255,255,255,255,255,255,255
,Questar P L Co,M2,Utah,Wyoming,354,354,354,354,354,354,354,354,354,354,354,354
,Questar P L Co,M3,Utah,Colorado,221,221,221,221,221,221,221,221,221,221,98,23
,Questar P L Co,M4,Colorado,Wyoming,165,165,165,165,165,165,165,165,165,165,165,165
,Questar P L Co,M5,Wyoming,Utah,"1,423","1,423","1,423","1,423","1,423","1,423","1,423","1,423","1,423","1,423","1,423","1,423"
,Questar P L Co,M6,Wyoming,Colorado,145,145,145,145,145,145,145,145,145,145,145,145
,Questar P L Co,Main Line,Max Capacity,,"1,423","1,423","1,423","1,423","1,423","1,423","1,423","1,423","1,423","1,423","1,423","1,423"
,,,,,,,,,,,,,,,,
,Questar Southern Trails Pipeline Co,M1,New Mexico,Arizona,87,87,87,87,87,87,87,87,87,87,87,87
,Questar Southern Trails Pipeline Co,M2,Arizona,California,80,80,80,80,80,80,80,80,80,80,80,80
,Questar Southern Trails Pipeline Co,Main Line,Max Capacity,,87,87,87,87,87,87,87,87,87,87,87,87
,,,,,,,,,,,,,,,,
,Rockies Express Pipeline,M1,Colorado,Wyoming,"3,200","1,600","1,600","1,600","1,600","1,600","1,600","1,600","1,600","1,600","1,450","1,400"
,Rockies Express Pipeline,M2,Wyoming,Colorado,"1,800","1,800","1,800","1,800","1,800","1,800","1,800","1,800","1,800","1,800","1,500","1,400"
,Rockies Express Pipeline,M3,Colorado,Wyoming,"3,200","1,600","1,600","1,600","1,600","1,600","1,600","1,600","1,600","1,600","1,450",0
,Rockies Express Pipeline,M4,Wyoming,Nebraska,"1,800","1,800","1,800","1,800","1,800","1,800","1,800","1,800","1,800","1,800","1,500",0
,Rockies Express Pipeline,M5,Nebraska,Colorado,"1,800","1,800","1,800","1,800","1,800","1,800","1,800","1,800","1,800","1,800","1,500",0
,Rockies Express Pipeline,M6,Colorado,Nebraska,"1,800","1,800","1,800","1,800","1,800","1,800","1,800","1,800","1,800","1,800","1,500",0
,Rockies Express Pipeline,M7,Nebraska,Kansas,"1,800","1,800","1,800","1,800","1,800","1,800","1,800","1,800","1,800","1,800","1,500",0
,Rockies Express Pipeline,M8,Kansas,Missouri,"1,800","1,800","1,800","1,800","1,800","1,800","1,800","1,800","1,800","1,800","1,500",0
,Rockies Express Pipeline,M9,Missouri,Illinois,"1,800","1,800","1,800","1,800","1,800","1,800","1,800","1,800","1,800","1,800",0,0
,Rockies Express Pipeline,M10,Illinois,Indiana,"1,800","1,800","1,800","1,800","1,800","1,800","1,800","1,800","1,800","1,800",0,0
,Rockies Express Pipeline,M11,Indiana,Ohio,"1,800","1,800","1,800","1,800","1,800","1,800","1,800","1,800","1,800","1,800",0,0
,Rockies Express Pipeline,M11 Back,Ohio,Indiana,"2,000","2,000","2,000","1,200",0,0,0,0,0,0,0,0
,Rockies Express Pipeline,M10 Back,Indiana,Illinois,"2,000","2,000","2,000","2,400",0,0,0,0,0,0,0,0
,Rockies Express Pipeline,Main Line,Max Capacity (Eastward ),,"3,200","1,800","1,800","1,800","1,800","1,800","1,800","1,800","1,800","1,800","1,500","1,400"
,Rockies Express Pipeline,Main Line,Max Capacity (Westward),,"2,000","2,000","2,000","2,400",0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,
,Rover Pipeline,SPZ,Pennsylvania,West Virginia,400,0,0,0,0,0,0,0,0,0,0,0
,Rover Pipeline,SPZ,West Virginia,Ohio,"1,600",0,0,0,0,0,0,0,0,0,0,0
,Rover Pipeline,Main Line,Max Capacity,,"1,600",0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,
,Ruby Pipeline LLC,M1,Wyoming,Utah,"1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500",0,0,0,0
,Ruby Pipeline LLC,M2,Utah,Nevada,"1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500",0,0,0,0
,Ruby Pipeline LLC,M3,Nevada,Oregon,"1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500",0,0,0,0
,Ruby Pipeline LLC,Main Line,Max Capacity,,"1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500",0,0,0,0
,,,,,,,,,,,,,,,,
,Sabal Trail,N/A,Alabama,Georgia,830,830,0,0,0,0,0,0,0,0,0,0
,Sabal Trail,N/A,Georgia,Florida,830,830,0,0,0,0,0,0,0,0,0,0
,Sabal Trail,Main Line,Max Capacity,,830,830,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,
,Southeast Supply Header Pipeline,M1,Louisiana,Mississippi,"1,545","1,545","1,545","1,545","1,500","1,500","1,500","1,500","1,140","1,140","1,140",0
,Southeast Supply Header Pipeline,M2,Mississippi,Alabama,"1,070","1,070","1,070","1,070","1,025","1,025","1,025","1,025","1,025","1,025","1,025",0
,Southeast Supply Header Pipeline,Main Line,Max Capacity,,"1,545","1,545","1,545","1,545","1,500","1,500","1,500","1,500","1,140","1,140","1,140",0
,,,,,,,,,,,,,,,,
,Southern Natural Gas Co,M1,Texas,Louisiana,110,110,110,110,110,110,110,110,110,110,110,110
,Southern Natural Gas Co,M2,Gulf of Mexico,Louisiana,0,0,0,0,0,0,0,650,650,650,650,650
,Southern Natural Gas Co,M3,Louisiana,Mississippi,"1,853","1,853","1,853","1,853","1,853","1,853","1,853","1,853","1,853","1,853","1,853","1,853"
,Southern Natural Gas Co,M4,Mississippi,Alabama,"3,126","3,126","3,126","3,126","3,126","3,126","3,126","3,001","2,876","2,876","2,876","2,876"
,Southern Natural Gas Co,M5,Alabama,Georgia,"2,760","2,760","2,760","2,760","2,760","2,760","2,760","2,635","2,635","2,510","2,510","2,510"
,Southern Natural Gas Co,M6,Georgia,Florida,646,646,646,411,411,411,411,411,411,411,411,411
,Southern Natural Gas Co,M7,Georgia,South Carolina,454,454,454,454,454,454,454,454,454,454,454,454
,Southern Natural Gas Co,M8,Georgia,Tennessee,151,151,151,151,151,151,151,151,151,151,151,151
,Southern Natural Gas Co,Main Line,Max Capacity,,"3,126","3,126","3,126","3,126","3,126","3,126","3,126","3,001","2,876","2,876","2,876","2,876"
,,,,,,,,,,,,,,,,
,Southern Star Central Gas PL Co,M1,Wyoming,Colorado,208,208,208,208,208,208,208,208,208,208,208,208
,Southern Star Central Gas PL Co,M2,Colorado,Kansas,216,216,216,216,216,216,216,216,216,216,216,216
,Southern Star Central Gas PL Co,M3,Kansas,Missouri,"1,270","1,270","1,270","1,270","1,270","1,270","1,270","1,270","1,270","1,270","1,270","1,270"
,Southern Star Central Gas PL Co,M4,Kansas,Oklahoma,259,259,259,259,259,259,259,259,259,259,259,259
,Southern Star Central Gas PL Co,M5,Texas,Oklahoma,145,145,145,145,145,145,145,145,145,145,145,145
,Southern Star Central Gas PL Co,M6,Oklahoma,Kansas,897,897,897,897,897,897,897,897,897,897,897,897
,Southern Star Central Gas PL Co,L1,Oklahoma,Missouri,80,80,80,80,80,80,80,80,80,80,80,80
,Southern Star Central Gas PL Co,L2,Kansas,Nebraska,6,6,6,6,6,6,6,6,6,6,6,6
,Southern Star Central Gas PL Co,Main Line,Max Capacity,,"1,270","1,270","1,270","1,270","1,270","1,270","1,270","1,270","1,270","1,270","1,270","1,270"
,,,,,,,,,,,,,,,,
,Tallgrass Interstate Gas Transmission,M1,Wyoming,Nebraska,120,120,120,120,120,375,375,375,375,375,375,375
,Tallgrass Interstate Gas Transmission,M2,Colorado,Nebraska,222,222,222,222,222,477,477,477,477,477,477,477
,Tallgrass Interstate Gas Transmission,M3,Colorado,Kansas,20,20,20,20,20,20,20,20,20,20,20,20
,Tallgrass Interstate Gas Transmission,M4,Kansas,Nebraska,210,210,210,210,210,210,210,210,210,210,210,210
