Major Pipeline Crossing Multiple State Borders (Capacity in MMcfd),,,,,,,,,,,,,,,,
,Tallgrass Interstate Gas Transmission,M5,Kansas,Missouri,255,255,255,255,255,255,255,255,255,255,255,255
,Tallgrass Interstate Gas Transmission,M6,Texas,Oklahoma,135,135,135,135,135,135,135,135,135,135,135,135
,Tallgrass Interstate Gas Transmission,M7,Kansas,Oklahoma,5,5,5,5,5,5,5,5,5,5,5,5
,Tallgrass Interstate Gas Transmission,M6 Back,Oklahoma,Texas,35,35,35,35,35,35,35,35,35,35,35,35
,Tallgrass Interstate Gas Transmission,M3 Back,Nebraska,Kansas,40,40,40,40,40,295,295,295,295,295,295,295
,Tallgrass Interstate Gas Transmission,M2 Back,Nebraska,Colorado,97,97,97,97,97,352,352,352,352,352,352,352
,Tallgrass Interstate Gas Transmission,Main Line,Max Capacity,,255,255,255,255,255,477,477,477,477,477,477,477
,,,,,,,,,,,,,,,,
,Tennessee Gas Pipeline Co,MX1,Texas,Mexico,888,505,505,505,505,505,505,505,505,505,505,505
,Tennessee Gas Pipeline Co,MX1 Back,Mexico,Texas,215,215,215,215,215,215,215,215,215,215,215,215
,Tennessee Gas Pipeline Co,Mexico Line,Max Capacity,,888,505,505,505,505,505,505,505,505,505,505,505
,Tennessee Gas Pipeline Co,GC1,Gulf of Mexico,Louisiana,0,0,0,0,0,0,0,"3,217","3,217","3,217","3,217","3,217"
,Tennessee Gas Pipeline Co,GC2,Texas,Louisiana,"1,407","1,407","1,407","1,407","1,407","1,407","1,407","1,407","1,407","1,407","1,307","1,307"
,Tennessee Gas Pipeline Co,GC3,Louisiana,Arkansas,"1,581","1,581","1,581","1,581","1,581","1,581","1,581","1,581","1,581","1,581","1,581","1,581"
,Tennessee Gas Pipeline Co,GC4,Arkansas,Mississippi,"1,573","1,573","1,573","1,573","1,573","1,573","1,573","1,573","1,573","1,573","1,573","1,573"
,Tennessee Gas Pipeline Co,GC5,Mississippi,Tennessee,"2,332","2,332","2,332","2,332","2,332","2,332","2,332","2,332","2,332","2,332","2,332","2,332"
,Tennessee Gas Pipeline Co,GC6,Louisiana,Mississippi,"2,520","2,520","2,520","2,520","2,520","2,520","2,520","2,520","2,520","2,520","2,520","2,520"
,Tennessee Gas Pipeline Co,GC7,Mississippi,Alabama,"1,899","1,899","1,899","1,899","1,899","1,899","1,899","1,899","1,899","1,899","1,899","1,899"
,Tennessee Gas Pipeline Co,GC8,Alabama,Tennessee,"1,832","1,832","1,832","1,832","1,832","1,832","1,832","1,832","1,832","1,832","1,832","1,832"
,Tennessee Gas Pipeline Co,GC9,Tennessee,Kentucky,"2,771","2,771","2,771","2,771","2,771","2,771","2,771","2,771","2,771","2,771","2,771","2,771"
,Tennessee Gas Pipeline Co,GC10,Kentucky,West Virginia,681,681,681,681,681,681,681,681,681,681,681,681
,Tennessee Gas Pipeline Co,GC11,Kentucky,Ohio,"1,777","1,777","1,777","1,777","1,777","1,777","1,777","1,777","1,777","1,777","1,777","1,777"
,Tennessee Gas Pipeline Co,GC12,Ohio,Pennsylvania,"1,575","1,575","1,575","1,575","1,575","1,575","1,575","1,575","1,575","1,575","1,575","1,575"
,Tennessee Gas Pipeline Co,GC12 Back,Pennsylvania,Ohio,"1,575","1,575","1,575","1,575","1,575","1,575","1,575","1,575","1,575","1,575",0,0
,Tennessee Gas Pipeline Co,GC11 Back,Ohio,Kentucky,"1,777","1,777","1,777","1,777","1,777","1,777","1,777","1,777","1,777","1,777",0,0
,Tennessee Gas Pipeline Co,GC10 Back,West Virginia,Kentucky,902,590,590,590,0,0,0,0,0,0,0,0
,Tennessee Gas Pipeline Co,GC9 Back,Kentucky,Tennessee,"2,636","2,580","2,580","1,350","1,350",850,850,850,850,850,0,0
,Tennessee Gas Pipeline Co,GC8 Back,Tennessee,Alabama,"1,753","1,753","1,450","1,450","1,450",950,950,950,950,950,500,500
,Tennessee Gas Pipeline Co,GC7 Back,Alabama,Mississippi,"1,450","1,450","1,450","1,450","1,450",950,950,950,950,950,0,0
,Tennessee Gas Pipeline Co,GC5 Back,Tennessee,Mississippi,"1,500","1,500",0,0,0,0,0,0,0,0,0,0
,Tennessee Gas Pipeline Co,GC4 Back,Mississippi,Arkansas,"1,707","1,707",0,0,0,0,0,0,0,0,0,0
,Tennessee Gas Pipeline Co,GC3 Back,Arkansas,Louisiana,"1,707","1,707",0,0,0,0,0,0,0,0,0,0
,Tennessee Gas Pipeline Co,GC2 Back,Louisiana,Texas,"1,317","1,317",0,0,0,0,0,0,0,0,0,0
,Tennessee Gas Pipeline Co,Gulf Coast Line,Max Capacity (Northward),,"2,771","2,771","2,771","2,771","2,771","2,771","2,771","2,771","2,771","2,771","2,771","2,771"
,Tennessee Gas Pipeline Co,Gulf Coast Line,Max Capacity (Southward),,"2,636","2,580","2,580","1,450","1,450",950,950,950,950,950,500,500
,Tennessee Gas Pipeline Co,NE1,Ontario,New York,"1,297","1,297","1,297","1,297","1,297","1,297","1,297","1,297","1,297","1,297","1,297","1,297"
,Tennessee Gas Pipeline Co,NE2,Pennsylvania,New York,"1,230","1,230","1,230","1,230","1,230","1,230","1,230",980,980,980,980,980
,Tennessee Gas Pipeline Co,NE3,Pennsylvania,New Jersey,"1,586","1,586","1,586","1,586","1,586","1,586",950,950,600,600,600,600
,Tennessee Gas Pipeline Co,NE4,New Jersey,New York,377,377,377,377,377,377,377,377,377,377,377,377
,Tennessee Gas Pipeline Co,NE5,New York,Connecticut,222,222,150,150,150,150,150,150,150,150,150,150
,Tennessee Gas Pipeline Co,NE6,Connecticut,Massachusetts,80,80,80,80,80,80,80,80,80,80,80,80
,Tennessee Gas Pipeline Co,NE7,New York,Massachusetts,"1,169","1,169","1,169","1,169","1,169","1,169","1,169","1,169","1,169","1,169","1,169","1,169"
,Tennessee Gas Pipeline Co,NE8,Massachusetts,New Hampshire,201,201,201,201,201,201,201,201,201,201,201,201
,Tennessee Gas Pipeline Co,NE9,Massachusetts,Rhode Island,173,173,173,173,173,173,173,173,173,173,173,173
,Tennessee Gas Pipeline Co,NE6 Back,Massachusetts,Connecticut,164,164,164,164,164,164,164,164,164,164,164,164
,Tennessee Gas Pipeline Co,NE1 Back,New York,Ontario,700,700,700,700,420,420,420,100,100,100,100,100
,Tennessee Gas Pipeline Co,Northeast Lines,Max Capacity,,"1,586","1,586","1,586","1,586","1,586","1,586","1,297","1,297","1,297","1,297","1,297","1,297"
,,,,,,,,,,,,,,,,
,Texas Eastern Trans Corp,MX1,Texas,Mexico,431,431,431,431,431,431,431,431,431,431,431,431
,Texas Eastern Trans Corp,MX1 Back,Mexico,Texas,350,350,350,350,350,350,350,350,350,350,350,350
,Texas Eastern Trans Corp,Mexico Line,Max Capacity,,431,431,431,431,431,431,431,431,431,431,431,431
,Texas Eastern Trans Corp,GC1,Gulf of Mexico,Louisiana,990,990,990,990,990,990,990,990,990,990,990,990
,Texas Eastern Trans Corp,GC2,Texas,Louisiana,945,945,945,945,945,945,945,945,945,945,945,945
,Texas Eastern Trans Corp,GC3,Louisiana,Mississippi,"2,202","2,202","2,202","2,202","2,202","2,202","2,202","2,202","2,202","2,202","2,202","2,202"
,Texas Eastern Trans Corp,GC4,Mississippi,Alabama,"2,222","2,222","2,222","2,222","2,222","2,222","2,222","2,222","2,222","2,222","2,222","2,222"
,Texas Eastern Trans Corp,GC5,Alabama,Tennessee,"2,308","2,308","2,308","2,308","2,308","2,308","2,308","2,308","2,308","2,308","2,308","2,308"
,Texas Eastern Trans Corp,GC6,Tennessee,Kentucky,"2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200","2,200"
,Texas Eastern Trans Corp,GC7,Kentucky,Ohio,"2,066","2,066","2,066","2,066","2,066","2,066","2,066","2,066","2,066","2,066","2,066","2,066"
,Texas Eastern Trans Corp,CG8,Ohio,West Virginia,"3,340","3,340","3,340","3,340","3,340","3,340","3,340","3,340","3,190","3,040","2,890","2,740"
,Texas Eastern Trans Corp,CG9,West Virginia,Pennsylvania,"3,225","3,225","3,225","3,225","3,225","3,225","3,225","3,025","3,025","3,025","2,875","2,725"
,Texas Eastern Trans Corp,CG9 Back,Pennsylvania,West Virginia,"2,921","2,921","2,280","1,920",900,0,0,0,0,0,0,0
,Texas Eastern Trans Corp,CG8 Back,West Virginia,Ohio,"2,920","2,920","2,280","1,920",900,0,0,0,0,0,0,0
,Texas Eastern Trans Corp,GC7 Back,Ohio,Kentucky,"2,247","2,247","1,583","1,225",0,0,0,0,0,0,0,0
,Texas Eastern Trans Corp,GC6 Back,Kentucky,Tennessee,"1,920","1,920","1,500","1,150",688,300,0,0,0,0,0,0
,Texas Eastern Trans Corp,GC5 Back,Tennessee,Alabama,"1,820","1,820","1,320",975,600,0,0,0,0,0,0,0
,Texas Eastern Trans Corp,GC4 Back,Alabama,Mississippi,"1,820","1,820","1,320",975,600,0,0,0,0,0,0,0
,Texas Eastern Trans Corp,GC3 Back,Mississippi,Louisiana,"1,250","1,250","1,250",991,550,0,0,0,0,0,0,0
,Texas Eastern Trans Corp,M2 Back,Louisiana,Texas,945,945,945,945,945,945,945,945,945,945,945,945
,Texas Eastern Trans Corp,Gulf Coast Line,Max Capacity (Northward),,"3,340","3,340","3,340","3,340","3,340","3,340","3,340","3,340","3,190","3,040","2,890","2,740"
,Texas Eastern Trans Corp,Gulf Coast Line,Max Capacity (Southward),,"2,247","2,247","1,583","1,225",945,945,945,945,945,945,945,945
,Texas Eastern Trans Corp,MW1,Texas,Arkansas,379,379,379,379,379,379,379,379,267,267,267,267
,Texas Eastern Trans Corp,MW2,Arkansas,Missouri,324,324,324,324,324,324,324,324,324,324,324,324
,Texas Eastern Trans Corp,MW3,Missouri,Illinois,300,300,300,300,300,300,300,300,300,300,300,300
,Texas Eastern Trans Corp,MW4,Illinois,Indiana,400,400,400,400,400,400,400,400,400,400,400,400
,Texas Eastern Trans Corp,MW5,Indiana,Ohio,976,976,976,976,976,976,976,976,976,976,976,976
,Texas Eastern Trans Corp,MW5 Back,Ohio,Indiana,716,716,425,425,0,0,0,0,0,0,0,0
,Texas Eastern Trans Corp,Midwest Line,Max Capacity,,976,976,976,976,976,976,976,976,976,976,976,976
,Texas Eastern Trans Corp,NE1,Pennsylvania,West Virginia,"2,921","2,921","2,280","1,920",900,0,0,0,0,0,0,0
,Texas Eastern Trans Corp,NE2,Pennsylvania,Delaware,295,295,295,295,295,50,50,50,50,50,50,50
,Texas Eastern Trans Corp,NE3,Pennsylvania,Maryland,300,300,300,300,300,300,300,300,300,300,300,300
,Texas Eastern Trans Corp,NE4,Pennsylvania,New Jersey,"3,850","3,850","3,850","3,850","3,850","3,250","3,250","3,250","3,250","3,250","3,250","3,100"
,Texas Eastern Trans Corp,NE5,New Jersey,New York,"1,500","1,500","1,500","1,500","1,500","1,500",700,700,700,700,700,700
,Texas Eastern Trans Corp,NE3 Back,Maryland,Pennsylvania,300,300,300,300,300,300,300,300,300,300,300,300
,Texas Eastern Trans Corp,Northeast Lines,Max Capacity,,"3,850","3,850","3,850","3,850","3,850","3,250","3,250","3,250","3,250","3,250","3,250","3,100"
,,,,,,,,,,,,,,,,
,Texas Gas Transmission Co,M1,Gulf of Mexico,Louisiana,501,501,501,501,501,501,501,501,501,501,501,501
,Texas Gas Transmission Co,M2,Texas,Louisiana,260,260,260,260,260,260,260,260,260,260,260,260
,Texas Gas Transmission Co,M3,Louisiana,Arkansas,"2,002","2,002","2,002","2,002","2,002","2,002","2,002","2,002","2,002","2,002","2,002","2,002"
,Texas Gas Transmission Co,M4,Arkansas,Mississippi,"4,810","4,810","4,810","4,810","4,810","4,810","4,810","4,810","4,810","4,810","3,843","3,843"
,Texas Gas Transmission Co,M5,Mississippi,Tennessee,"1,980","1,980","1,980","1,980","1,980","1,980","1,980","1,980","1,980","1,980","1,980","1,980"
,Texas Gas Transmission Co,M6,Tennessee,Kentucky,"1,675","1,675","1,675","1,675","1,675","1,675","1,675","1,675","1,675","1,675","1,675","1,675"
,Texas Gas Transmission Co,M7,Kentucky,Indiana,"1,564","1,564","1,564","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510"
,Texas Gas Transmission Co,M8,Indiana,Ohio,"1,007","1,007","1,007","1,007","1,007","1,007","1,007","1,007","1,007","1,007","1,007","1,007"
,Texas Gas Transmission Co,M9,Ohio,Indiana,"1,042","1,042",758,0,0,0,0,0,0,0,0,0
,Texas Gas Transmission Co,L1,Indiana,Illinois,44,44,44,44,44,44,44,44,44,44,44,44
,Texas Gas Transmission Co,M9 Back,Indiana,Ohio,"1,007","1,007","1,007","1,007","1,007","1,007","1,007","1,007","1,007","1,007","1,007","1,007"
,Texas Gas Transmission Co,M8 Back,Ohio,Indiana,"1,042","1,042",758,0,0,0,0,0,0,0,0,0
,Texas Gas Transmission Co,M7 Back,Indiana,Kentucky,"1,042","1,042",758,0,0,0,0,0,0,0,0,0
,Texas Gas Transmission Co,M6 Back,Kentucky,Tennessee,"1,067","1,067",783,25,25,25,25,25,25,25,25,25
,Texas Gas Transmission Co,M5 Back,Tennessee,Mississippi,"1,042","1,042",758,0,0,0,0,0,0,0,0,0
,Texas Gas Transmission Co,M4 Back,Mississippi,Arkansas,"1,042","1,042",758,0,0,0,0,0,0,0,0,0
,Texas Gas Transmission Co,M3 Back,Arkansas,Louisiana,"1,042","1,042",758,0,0,0,0,0,0,0,0,0
,Texas Gas Transmission Co,Main Line,Max Capacity (Northward),,"1,980","1,980","1,980","1,980","1,980","1,980","1,980","1,980","1,980","1,980","1,980","1,980"
,Texas Gas Transmission Co,Main Line,Max Capacity (Southward),,"1,067","1,067",783,25,25,25,25,25,25,25,25,25
,,,,,,,,,,,,,,,,
,Trailblazer Pipeline Co,M1,Colorado,Wyoming,816,816,816,816,816,816,816,816,816,816,816,816
,Trailblazer Pipeline Co,M2,Wyoming,Nebraska,816,816,816,816,816,816,816,816,816,816,816,816
,Trailblazer Pipeline Co,M3,Nebraska,Colorado,816,816,816,816,816,816,816,816,816,816,816,816
,Trailblazer Pipeline Co,M4,Colorado,Nebraska,816,816,816,816,816,816,816,816,816,816,816,816
,Trailblazer Pipeline Co,Main Line,Max Capacity,,816,816,816,816,816,816,816,816,816,816,816,816
,,,,,,,,,,,,,,,,
,Transcolorado Gas Trans Co,M1,Colorado,New Mexico,692,692,692,692,692,692,692,692,692,692,692,692
,Transcolorado Gas Trans Co,M1 Back,New Mexico,Colorado,250,250,250,250,250,250,250,250,250,250,250,250
,Transcolorado Gas Trans Co,Main Line,Max Capacity,,692,692,692,692,692,692,692,692,692,692,692,692
,,,,,,,,,,,,,,,,
,Transcontinental Gas P L Co,M1,Gulf of Mexico,Alabama,612,612,612,612,612,612,612,612,612,612,612,612
,Transcontinental Gas P L Co,M2,Gulf of Mexico,Louisiana,"2,644","2,644","2,644","2,644","2,644","2,644","2,644","2,644","2,644","2,644","2,644","2,644"
,Transcontinental Gas P L Co,M3,Gulf of Mexico,Texas,600,600,600,600,600,600,600,600,600,600,600,600
,Transcontinental Gas P L Co,M4,Texas,Louisiana,810,810,810,810,810,810,810,810,810,810,810,810
,Transcontinental Gas P L Co,M5,Louisiana,Mississippi,"3,756","3,756","3,756","3,756","3,756","3,756","3,756","3,756","3,756","3,756","3,756","3,756"
,Transcontinental Gas P L Co,M6,Mississippi,Alabama,"4,047","4,047","4,047","4,047","4,047","4,047","4,047","4,047","4,047","4,047","4,047","4,047"
,Transcontinental Gas P L Co,M7,Alabama,Georgia,"4,758","4,758","4,758","4,758","4,758","4,758","4,758","4,663","4,444","4,444","4,444","4,444"
,Transcontinental Gas P L Co,M8,Georgia,South Carolina,"4,199","4,199","4,199","4,199","4,199","4,199","4,199","4,104","3,885","3,885","3,885","3,885"
,Transcontinental Gas P L Co,M9,South Carolina,North Carolina,"4,006","4,006","4,006","4,006","4,006","4,006","4,006","3,911","3,692","3,692","3,692","3,692"
,Transcontinental Gas P L Co,M10,North Carolina,Virginia,"3,035","3,035","3,035","3,035","3,035","3,035","3,035","3,035","3,035","3,035","3,035","3,035"
,Transcontinental Gas P L Co,M11,Virginia,Maryland,"2,265","2,265","2,265","2,265","2,265","2,265","2,265","2,265","2,265","2,265","2,265","2,265"
,Transcontinental Gas P L Co,M12,Maryland,Pennsylvania,"2,100","2,100","2,100","2,100","2,100","2,100","2,100","2,100","2,100","2,100","2,100","2,100"
,Transcontinental Gas P L Co,M13,Pennsylvania,Delaware,180,180,180,180,76,76,76,76,76,76,76,76
,Transcontinental Gas P L Co,M14,Pennsylvania,New Jersey,"4,812","4,812","4,697","4,697","4,697","4,597","4,347","4,347","4,347","4,347","4,285","4,245"
,Transcontinental Gas P L Co,M15,New Jersey,New York,"1,696","1,696","1,581","1,581","1,581","1,481","1,481","1,481","1,481","1,481","1,481","1,481"
,Transcontinental Gas P L Co,M14 Back,New Jersey,Pennsylvania,"1,921","1,921","1,921","1,921","1,921","1,921","1,921","1,921","1,921","1,921","1,921","1,921"
,Transcontinental Gas P L Co,M12 Back,Pennsylvania,Maryland,"2,743","1,443","1,043",851,420,420,420,0,0,0,0,0
,Transcontinental Gas P L Co,M11 Back,Maryland,Virginia,"2,251","1,251",851,851,420,420,420,0,0,0,0,0
,Transcontinental Gas P L Co,M10 Back,Virginia,North Carolina,"2,513","1,936","1,490","1,490",420,420,420,420,420,420,420,420
,Transcontinental Gas P L Co,M4 Back,Mississippi,Louisiana,"1,200","1,200",0,0,0,0,0,0,0,0,0,0
,Transcontinental Gas P L Co,Main Line,Max Capacity (Northward),,"4,812","4,812","4,758","4,758","4,758","4,758","4,758","4,663","4,444","4,444","4,444","4,444"
,Transcontinental Gas P L Co,Main Line,Max Capacity (Southward),,"2,743","1,443","1,043",851,420,420,420,0,0,0,0,0
,,,,,,,,,,,,,,,,
,Transwestern Pipeline Co,M1,Oklahoma,Texas,115,115,115,115,115,115,115,115,115,115,115,115
,Transwestern Pipeline Co,M2,Texas,New Mexico,950,950,950,950,950,950,950,950,950,950,950,950
,Transwestern Pipeline Co,M3,Colorado,New Mexico,500,500,500,500,500,500,500,500,500,500,500,500
,Transwestern Pipeline Co,M4,New Mexico,Arizona,"1,226","1,226","1,226","1,226","1,226","1,226","1,226","1,226","1,226","1,226","1,226","1,226"
,Transwestern Pipeline Co,M5,Arizona,California,"1,285","1,285","1,285","1,285","1,285","1,285","1,285","1,285","1,285","1,285","1,285","1,285"
,Transwestern Pipeline Co,M2 Back,New Mexico,Texas,795,795,795,795,795,795,795,795,795,795,795,795
,Transwestern Pipeline Co,Main Line,Max Capacity,,"1,285","1,285","1,285","1,285","1,285","1,285","1,285","1,285","1,285","1,285","1,285","1,285"
,,,,,,,,,,,,,,,,
,Trunkline Gas Co,M1,Gulf of Mexico,Louisiana,0,0,0,0,0,0,0,"1,747","1,747","1,747","1,747","1,747"
,Trunkline Gas Co,M2,Texas,Louisiana,960,960,960,960,960,960,960,960,960,960,960,960
,Trunkline Gas Co,M3,Louisiana,Arkansas,"1,598","1,598","1,598","1,598","1,598","1,598","1,598","1,598","1,598","1,598","1,598","1,598"
,Trunkline Gas Co,M4,Arkansas,Mississippi,"1,598","1,598","1,598","1,598","1,598","1,598","1,598","1,598","1,598","1,598","1,598","1,598"
,Trunkline Gas Co,M5,Mississippi,Tennessee,"1,580","1,580","1,580","1,580","1,580","1,580","1,580","1,580","1,580","1,580","1,580","1,580"
,Trunkline Gas Co,M6,Tennessee,Kentucky,"1,570","1,570","1,570","1,570","1,570","1,570","1,570","1,570","1,570","1,570","1,570","1,570"
,Trunkline Gas Co,M7,Kentucky,Illinois,"1,544","1,544","1,544","1,544","1,544","1,544","1,544","1,544","1,544","1,544","1,544","1,544"
,Trunkline Gas Co,M8,Illinois,Indiana,745,745,745,745,745,745,745,745,745,745,745,745
,Trunkline Gas Co,M9,Indiana,Michigan,739,739,739,739,739,739,739,739,739,739,739,739
,Trunkline Gas Co,M7 Back,Illinois,Kentucky,750,750,0,0,0,0,0,0,0,0,0,0
,Trunkline Gas Co,M6 Back,Kentucky,Tennessee,750,750,0,0,0,0,0,0,0,0,0,0
,Trunkline Gas Co,M5 Back,Tennessee,Mississippi,750,750,0,0,0,0,0,0,0,0,0,0
,Trunkline Gas Co,Main Line,Max Capacity,,"1,598","1,598","1,598","1,598","1,598","1,598","1,598","1,598","1,598","1,598","1,598","1,598"
,,,,,,,,,,,,,,,,
,Tuscarora Pipeline Co,M1,Oregon,California,184,184,184,184,184,184,184,184,184,184,184,184
,Tuscarora Pipeline Co,M2,California,Nevada,162,162,162,162,162,162,162,162,162,162,162,162
,Tuscarora Pipeline Co,Main Line,Max Capacity,,184,184,184,184,184,184,184,184,184,184,184,184
,,,,,,,,,,,,,,,,
,Vector Pipeline Co,M1,Illinois,Indiana,"1,350","1,350","1,350","1,350","1,350","1,350","1,350","1,350","1,350","1,350","1,245","1,245"
,Vector Pipeline Co,M2,Indiana,Michigan,"1,350","1,350","1,350","1,350","1,350","1,350","1,350","1,350","1,350","1,350","1,245","1,245"
,Vector Pipeline Co,M3,Michigan,Ontario,"1,560","1,560","1,560","1,560","1,560","1,560","1,560","1,560","1,560","1,560","1,245","1,245"
,Vector Pipeline Co,M3 Back,Ontario,Michigan,"1,350","1,350","1,350","1,350","1,350","1,350","1,350","1,350","1,350","1,350","1,245","1,245"
,Vector Pipeline Co,Main Line,Max Capacity (Eastward ),,"1,560","1,560","1,560","1,560","1,560","1,560","1,560","1,560","1,560","1,560","1,245","1,245"
,Vector Pipeline Co,Main Line,Max Capacity (Westward),,"1,350","1,350","1,350","1,350","1,350","1,350","1,350","1,350","1,350","1,350","1,245","1,245"
,,,,,,,,,,,,,,,,
,Viking Gas Transmission Co,M1,Manitoba,Minnesota,516,516,516,516,516,516,516,516,516,516,516,516
,Viking Gas Transmission Co,M2,Minnesota,Wisconsin,437,437,437,437,437,437,437,437,437,437,437,437
,Viking Gas Transmission Co,L1,Minnesota,North Dakota,101,101,101,101,101,101,101,101,101,101,63,63
,Viking Gas Transmission Co,Main Line,Max Capacity,,516,516,516,516,516,516,516,516,516,516,516,516
,,,,,,,,,,,,,,,,
,WBI Energy Transmission,M1,South Dakota,Wyoming,85,85,85,85,85,85,85,85,85,85,85,85
,WBI Energy Transmission,M2,Wyoming,Montana,421,421,421,421,421,421,421,421,421,421,421,380
,WBI Energy Transmission,M3,Montana,North Dakota,542,542,542,542,542,542,542,542,542,542,467,426
,WBI Energy Transmission,M4,Saskatchewan,North Dakota,46,46,46,46,46,46,46,46,46,46,46,46
,WBI Energy Transmission,M5,North Dakota,South Dakota,54,54,54,54,54,54,54,54,54,54,54,54
,WBI Energy Transmission,M5 Back,South Dakota,North Dakota,53,53,53,53,53,53,53,53,53,53,53,53
,WBI Energy Transmission,M3 Back,North Dakota,Montana,268,268,268,268,268,268,268,268,268,268,268,268
,WBI Energy Transmission,M2 Back,Montana,Wyoming,275,275,275,275,275,275,275,275,275,275,275,275
,WBI Energy Transmission,M1 Back,Wyoming,South Dakota,27,27,27,27,27,27,27,27,27,27,27,27
,WBI Energy Transmission,Main Line,Max Capacity,,542,542,542,542,542,542,542,542,542,542,467,426
,,,,,,,,,,,,,,,,
,Wyoming Interstate Co,M1,Utah,Wyoming,586,586,586,586,586,586,586,586,586,406,406,406
,Wyoming Interstate Co,M2,Colorado,Wyoming,341,341,341,341,341,341,341,341,341,341,341,341
,Wyoming Interstate Co,M3,Wyoming,Colorado,"2,477","2,255","2,255","2,255","2,255","2,255","2,255","2,255","2,255","2,255","2,200","1,870"
,Wyoming Interstate Co,Main Line,Max Capacity,,"2,477","2,255","2,255","2,255","2,255","2,255","2,255","2,255","2,255","2,255","2,200","1,870"