State Outflow Capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sum of Capacity (mmcfd),,year,,,,,,,,,,,,,,,,,,,,,,,,,
State From,State To,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1990
Alabama,Florida,"4,710","4,650","4,650","4,650","4,650","4,650","4,650","4,650","3,699","3,699","3,699","3,544","3,544","3,544","3,544","3,544","3,293","1,865","1,665","1,665","1,665","1,640","1,640","1,640","1,105",
,Georgia,"8,348","8,348","7,518","7,518","7,518","7,518","7,518","7,298","7,079","6,954","6,954","6,954","6,954","6,954","6,954","6,763","6,113","5,643","5,626","5,426","5,426","5,274","5,129","5,074","4,959",
,Mississippi,"3,470","3,470","2,970","2,625","2,250","1,150","1,150","1,150","1,150","1,150",200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,
,Tennessee,"4,140","4,140","4,140","4,140","4,140","4,140","4,140","4,140","4,140","4,140","4,140","4,140","4,140","4,140","4,140","4,083","4,083","4,083","4,083","4,083","4,083","4,083","4,083","4,083","4,083",
Alabama Total,,"20,668","20,608","19,278","18,933","18,558","17,458","17,458","17,238","16,068","15,943","14,993","14,838","14,838","14,838","14,838","14,590","13,689","11,791","11,574","11,374","11,374","11,197","11,052","10,997","10,347",
Alberta,Montana,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,100,100,100,100,100,100,100,100,100,
Alberta Total,,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,100,100,100,100,100,100,100,100,100,
Arizona,California,"6,439","6,257","6,257","6,257","6,257","6,257","6,257","6,257","6,257","6,257","6,257","6,257","6,257","6,257","5,755","5,755","5,755","4,825","4,825","4,825","4,825","4,825","4,825","4,825","4,825",
,Mexico,713,713,713,690,690,489,489,251,251,251,251,251,251,251,251,251,251,242,112,112,34,34,34,34,34,
,Nevada,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,
Arizona Total,,"7,317","7,135","7,135","7,112","7,112","6,911","6,911","6,673","6,673","6,673","6,673","6,673","6,673","6,673","6,171","6,171","6,171","5,232","5,102","5,102","5,024","5,024","5,024","5,024","5,024",
Arkansas,Louisiana,"4,605","4,605","2,214","1,456",706,706,706,706,706,706,706,706,706,706,706,706,706,706,706,706,706,706,706,706,706,
,Mississippi,"11,411","11,411","11,411","11,411","11,411","11,411","11,411","11,411","11,411","9,411","8,444","8,444","8,444","8,444","8,444","8,444","8,444","8,444","8,444","8,699","8,699","8,699","8,699","8,699","8,699","1,350"
,Missouri,"2,761","2,761","2,761","2,761","2,761","2,761","2,761","2,761","2,761","2,761","2,761","2,761","2,761","2,761","2,761","2,761","2,761","2,761","2,761","2,761","2,761","2,761","2,763","2,761","2,761",
,Oklahoma,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,
,Texas,"1,210",750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,
Arkansas Total,,"20,007","19,547","17,156","16,398","15,648","15,648","15,648","15,648","15,648","13,648","12,681","12,681","12,681","12,681","12,681","12,681","12,681","12,681","12,681","12,936","12,936","12,936","12,938","12,936","12,936","1,350"
British Columbia,Idaho,"2,741","2,741","2,741","2,741","2,741","2,741","2,741","2,741","2,741","2,741","2,741","2,741","2,741","2,741","2,741","2,741","2,741","2,534","2,534","2,534","2,534","2,460","2,460","2,460","2,460",
,Washington,"1,832","1,832","1,832","1,832","1,832","1,832","1,832","1,832","1,832","1,832","1,832","1,832","1,832","1,832","1,832","1,676","1,676","1,676","1,676","1,676","1,676","1,676","1,595","1,561","1,480",
British Columbia Total,,"4,573","4,573","4,573","4,573","4,573","4,573","4,573","4,573","4,573","4,573","4,573","4,573","4,573","4,573","4,573","4,417","4,417","4,210","4,210","4,210","4,210","4,136","4,055","4,021","3,940",
California,Arizona,695,695,695,695,695,695,695,695,695,614,614,614,0,0,0,0,0,0,0,0,0,0,0,0,0,
,California,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,
,Mexico,925,925,925,925,925,925,925,925,925,925,925,925,925,925,925,925,925,425,425,25,25,25,0,0,0,
,Nevada,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,108,108,108,108,108,108,108,0,
California Total,,"1,842","1,842","1,842","1,842","1,842","1,842","1,842","1,842","1,842","1,761","1,761","1,761","1,147","1,147","1,147","1,147","1,147",593,593,193,193,193,168,168,60,
Colorado,Kansas,"1,519","1,519","1,519","1,519","1,519","1,519","1,519","1,519","1,519","1,519","1,519","1,429","1,400","1,400","1,126",566,566,566,566,480,480,480,450,450,450,
,Nebraska,"2,838","2,838","2,838","2,838","2,838","3,093","3,093","3,093","3,093","3,093","2,793","1,293","1,293","1,293","1,293","1,231","1,231",907,907,907,907,907,427,427,427,
,New Mexico,"1,992","1,992","1,992","1,992","1,992","1,992","1,992","1,992","1,992","1,992","1,992","1,992","1,992","1,992","1,992","1,720","1,720","1,720","1,720","1,720","1,420","1,280","1,280","1,034",981,
,Oklahoma,514,514,514,514,514,514,514,514,514,514,514,514,485,485,381,381,381,333,250,250,250,250,250,250,250,
,Utah,563,563,563,563,563,563,563,563,563,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,
,Wyoming,"4,715","4,715","4,715","4,715","4,715","4,715","4,715","4,715","4,715","4,715","4,415","2,915","2,265","1,174","1,174","1,174","1,174",850,850,850,850,850,745,745,745,
Colorado Total,,"12,141","12,141","12,141","12,141","12,141","12,396","12,396","12,396","12,396","12,246","11,646","8,556","7,848","6,757","6,379","5,485","5,485","4,789","4,706","4,620","4,320","4,180","3,565","3,319","3,266",
Connecticut,Massachusetts,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,
,New York,895,895,895,895,895,895,895,895,895,620,520,420,420,420,420,364,364,285,285,285,285,250,250,250,250,
,Rhode Island,"1,235","1,142","1,102",760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,665
Connecticut Total,,"2,210","2,117","2,077","1,735","1,735","1,735","1,735","1,735","1,735","1,460","1,360","1,260","1,260","1,260","1,260","1,204","1,204","1,125","1,125","1,125","1,125","1,090","1,090","1,090","1,090",665
Delaware,Maryland,22,22,22,22,22,22,22,22,22,22,22,22,22,22,16,16,16,16,16,16,16,15,10,10,10,
,New Jersey,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,
Delaware Total,,163,163,163,163,163,163,163,163,163,163,163,163,163,163,157,157,157,157,157,157,157,156,151,151,151,
Georgia,Alabama,"1,700",975,525,525,,,,,,,,,,,,,,,,,,,,,,
,Florida,"1,476","1,476",646,411,411,411,411,411,411,411,411,411,56,56,56,56,56,56,56,56,56,56,56,56,56,
,South Carolina,"4,843","4,843","4,843","4,843","4,843","4,843","4,843","4,748","4,529","4,529","4,529","4,529","4,529","4,529","4,529","4,338","3,836","3,606","3,606","3,606","3,606","3,606","3,416","3,361","3,246",
,Tennessee,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,56,56,56,45,
Georgia Total,,"8,170","7,445","6,165","5,930","5,405","5,405","5,405","5,310","5,091","5,091","5,091","5,091","4,736","4,736","4,736","4,545","4,043","3,813","3,813","3,813","3,813","3,718","3,528","3,473","3,347",
Gulf of Mexico,Alabama,"2,387","2,387","2,387","2,387","2,387","2,387","2,387","2,387","2,387","2,387","2,387","2,387","2,387","2,387","2,387","2,387","2,125","2,125","2,125","2,125","1,956","1,606","1,295","1,000",600,
,Louisiana,"16,784","16,784","16,784","16,784","16,784","16,784","16,784","16,784","16,784","16,784","17,994","17,994","17,994","17,994","17,844","17,844","17,844","17,844","17,844","17,844","17,844","16,944","15,744","14,944","14,944","1,919"
,Mississippi,"1,322","1,322","1,322","1,322","1,322","1,322","1,322","1,322","1,322","1,322","1,322","1,322","1,322","1,322","1,322","1,313","1,313","1,313","1,275","1,275","1,275",275,275,275,275,
,Texas,"2,178","2,178","2,178","2,178","2,658","2,658","2,658","2,658","2,658","2,658","2,658","2,658","2,658","2,658","2,658","2,658","2,658","2,658","2,658","2,658","2,658","2,658","2,658","2,658","2,658",
Gulf of Mexico Total,,"22,671","22,671","22,671","22,671","23,151","23,151","23,151","23,151","23,151","23,151","24,361","24,361","24,361","24,361","24,211","24,202","23,940","23,940","23,902","23,902","23,733","21,483","19,972","18,877","18,477","1,919"
Gulf of Mexico - Deepwater,Gulf of Mexico,"6,010","6,010","6,010","6,010","6,010","6,010","6,010","6,010","6,010","5,710","5,710","5,710","4,460","4,460","4,460","4,160","4,160","4,160","4,160","3,760","3,760","3,760","1,960","1,960","1,960",
Gulf of Mexico - Deepwater Total,,"6,010","6,010","6,010","6,010","6,010","6,010","6,010","6,010","6,010","5,710","5,710","5,710","4,460","4,460","4,460","4,160","4,160","4,160","4,160","3,760","3,760","3,760","1,960","1,960","1,960",
Idaho,Nevada,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,
,Oregon,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,254,254,254,254,254,254,254,254,254,
,Utah,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,
,Washington,"2,561","2,561","2,561","2,561","2,561","2,561","2,561","2,561","2,561","2,561","2,561","2,561","2,561","2,561","2,561","2,561","2,561","2,354","2,354","2,354","2,354","2,280","2,280","2,280","2,280",
Idaho Total,,"3,446","3,446","3,446","3,446","3,446","3,446","3,446","3,446","3,446","3,446","3,446","3,446","3,446","3,446","3,446","3,446","3,271","3,064","3,064","3,064","3,064","2,990","2,990","2,990","2,990",
Illinois,Indiana,"9,594","9,594","9,594","9,594","9,594","9,594","9,594","9,594","9,594","9,444","7,539","7,539","7,294","7,164","7,164","7,164","6,921","6,291","5,532","4,812","4,702","4,702","4,568","4,568","4,568","1,250"
,Iowa,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,
,Kentucky,750,750,,,,,,,,,,,,,,,,,,,,,,,,
,Missouri,"3,350","2,890","2,890",890,890,890,890,890,890,890,890,890,890,890,890,890,890,870,870,870,870,870,870,870,870,
,Wisconsin,"3,558","3,327","3,327","3,327","3,327","3,327","3,327","3,327","3,327","3,327","2,790","2,790","2,790","2,747","2,747","2,747","2,747","1,997","1,997","1,807","1,658","1,658","1,658","1,636","1,598","1,268"
Illinois Total,,"17,327","16,636","15,886","13,886","13,886","13,886","13,886","13,886","13,886","13,736","11,294","11,294","11,049","10,876","10,876","10,876","10,633","9,233","8,474","7,564","7,305","7,305","7,171","7,149","7,111","2,518"
Indiana,Illinois,"5,028","4,678","3,928","4,328","1,928","1,928","1,928","1,928","1,928","2,078","2,078","2,078","2,078","2,078","2,078","2,078","2,078","2,078","2,078","2,078","2,078","2,078","1,944","1,944","1,944","1,250"
,Kentucky,"2,142","2,142","1,858","1,100",350,350,350,350,350,350,350,350,350,350,350,350,350,0,0,0,0,0,0,0,0,
,Michigan,"3,609","3,609","3,609","3,609","3,609","3,609","3,609","3,609","3,609","3,609","3,504","3,504","3,259","3,259","3,259","3,259","3,259","2,979","2,979","2,259","2,259","2,259","2,109","2,109","2,109","1,226"
,Ohio,"7,095","7,095","7,095","7,095","7,095","7,095","7,095","7,095","7,095","7,095","5,295","5,295","5,295","5,295","5,295","5,295","5,295","5,295","5,295","5,295","5,295","4,990","4,990","4,990","4,740","1,748"
Indiana Total,,"17,874","17,524","16,490","16,132","12,982","12,982","12,982","12,982","12,982","13,132","11,227","11,227","10,982","10,982","10,982","10,982","10,982","10,352","10,352","9,632","9,632","9,327","9,043","9,043","8,793","4,224"
Iowa,Illinois,"5,943","5,943","5,943","5,943","5,943","5,943","5,943","5,943","5,943","5,943","5,943","5,943","5,943","5,813","5,738","5,738","5,738","5,570","5,375","3,743","3,743","2,963","2,963","2,941","2,891",513
,Minnesota,"1,930","1,930","1,930","1,930","1,930","1,930","1,930","1,930","1,930","1,930","1,930","1,930","1,710","1,710","1,710","1,710","1,710","1,620","1,620","1,620","1,620","1,620","1,378","1,270","1,270",
,South Dakota,94,94,94,94,94,94,94,94,94,94,94,94,78,78,78,78,78,78,78,78,78,78,78,78,78,
Iowa Total,,"7,967","7,967","7,967","7,967","7,967","7,967","7,967","7,967","7,967","7,967","7,967","7,967","7,731","7,601","7,526","7,526","7,526","7,268","7,073","5,441","5,441","4,661","4,419","4,289","4,239",513
Kansas,Colorado,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,
,Missouri,"4,934","4,934","4,934","4,934","4,934","4,934","4,934","4,934","4,934","4,934","4,634","3,084","3,134","3,134","3,134","3,067","3,000","3,000","2,857","2,857","2,857","2,857","2,581","2,581","2,581",
,Nebraska,"4,305","4,305","4,305","4,305","4,305","4,305","4,305","4,305","4,305","4,305","4,305","4,305","4,273","4,273","4,273","4,273","4,273","4,183","4,183","4,183","4,183","4,183","4,134","4,134","4,134",610
,Oklahoma,887,887,887,887,887,887,887,887,887,887,887,887,858,858,754,754,754,754,754,674,674,674,674,674,674,
Kansas Total,,"10,511","10,511","10,511","10,511","10,511","10,511","10,511","10,511","10,511","10,511","10,211","8,661","8,650","8,650","8,546","8,479","8,412","8,322","8,179","8,099","8,099","8,099","7,774","7,774","7,774",610
Kentucky,Illinois,"1,544","1,544","1,544","1,544","1,544","1,544","1,544","1,544","1,544","1,544","1,544","1,544","1,544","1,544","1,544","1,544","1,544","1,544","1,799","1,799","1,799","1,799","1,799","1,799","1,799",
,Indiana,"3,614","3,614","3,614","3,560","3,560","3,560","3,560","3,560","3,560","3,560","3,560","3,560","3,560","3,560","3,560","3,560","3,560","3,560","3,560","3,560","3,560","3,560","3,560","3,560","3,560","1,315"
,Ohio,"4,164","4,164","4,164","4,164","4,164","4,164","4,164","4,164","4,164","4,164","4,164","4,164","4,164","4,164","4,164","4,164","4,164","4,164","4,164","4,164","4,164","4,164","4,164","4,164","4,164",
,Tennessee,"9,334","9,278","7,285","4,538","2,958","2,070","1,230","1,230","1,230","1,230",380,380,380,380,380,380,380,30,30,30,30,30,30,30,30,
,Virginia,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,
,West Virginia,"2,843","2,843","2,843","2,843","2,843","2,843","2,843","2,843","2,843","2,843","2,843","2,843","2,843","2,843","2,843","2,843","2,843","2,843","2,843","2,843","2,536","2,536","2,536","2,536","2,536",
Kentucky Total,,"21,549","21,493","19,500","16,699","15,119","14,231","13,391","13,391","13,391","13,391","12,541","12,541","12,541","12,541","12,541","12,541","12,541","12,191","12,446","12,446","12,139","12,139","12,139","12,139","12,139","1,315"
Louisiana,Arkansas,"7,903","7,903","7,903","7,903","7,903","7,903","7,903","7,903","7,903","7,903","7,903","7,903","7,903","7,903","7,903","7,903","7,903","7,903","7,484","7,731","7,731","7,731","7,716","7,716","7,716","1,338"
,Mississippi,"20,666","20,666","20,666","20,666","20,621","20,621","20,621","20,621","20,261","19,695","18,162","15,322","15,322","15,322","15,322","15,269","14,815","14,585","14,300","14,300","13,991","13,991","13,991","13,836","13,463",70
,Texas,"2,587","2,587","1,270","1,270","1,270","1,270","1,270","1,270","1,270","1,270","1,270","1,270","1,270","1,270","1,270","1,270","1,267","1,267","1,267","1,267","1,267","1,267","1,267","1,267","1,267",
Louisiana Total,,"31,156","31,156","29,839","29,839","29,794","29,794","29,794","29,794","29,434","28,868","27,335","24,495","24,495","24,495","24,495","24,442","23,985","23,755","23,051","23,298","22,989","22,989","22,974","22,819","22,446","1,408"
Maine,New Brunswick,833,833,833,833,833,833,833,833,833,833,415,415,415,415,415,415,415,415,415,,,,,,,
,New Hampshire,"1,082","1,080","1,080","1,080","1,080","1,080","1,080","1,080","1,080","1,080",875,875,875,875,875,875,837,659,619,619,31,31,31,31,31,
Maine Total,,"1,915","1,913","1,913","1,913","1,913","1,913","1,913","1,913","1,913","1,913","1,290","1,290","1,290","1,290","1,290","1,290","1,252","1,074","1,034",619,31,31,31,31,31,
Manitoba,Minnesota,"2,991","2,991","2,991","2,991","2,991","2,991","2,991","2,991","2,991","2,991","2,991","2,991","2,991","2,991","2,991","2,991","2,991","2,991","2,991","2,991","2,963","2,837","2,774","2,755","2,755",
Manitoba Total,,"2,991","2,991","2,991","2,991","2,991","2,991","2,991","2,991","2,991","2,991","2,991","2,991","2,991","2,991","2,991","2,991","2,991","2,991","2,991","2,991","2,963","2,837","2,774","2,755","2,755",
Maryland,Delaware,145,145,145,145,145,145,145,145,145,145,145,134,124,98,79,74,74,69,57,57,57,55,55,55,55,
,District of Columbia,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,
,Pennsylvania,"3,306","3,306","3,306","3,306","3,306","3,306","3,306","3,306","3,306","3,306","3,306","2,606","2,606","2,606","2,606","2,606","2,606","2,606","2,606","2,606","2,606","2,606","2,606","2,606","2,606",
,Virginia,"4,258","3,258","2,703","2,703","2,272","2,272","2,272","1,852","1,852","1,852","1,852","1,052","1,052","1,052","1,052",835,835,835,835,835,835,835,835,835,219,
,West Virginia,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
Maryland Total,,"7,794","6,794","6,239","6,239","5,808","5,808","5,808","5,388","5,388","5,388","5,388","3,877","3,867","3,841","3,822","3,600","3,600","3,595","3,583","3,583","3,583","3,581","3,581","3,581","2,965",
Massachusetts,Connecticut,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,81,81,81,81,81,81,81,
,New Hampshire,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,106,106,106,106,106,106,106,
,Rhode Island,448,448,448,448,448,448,448,448,448,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,
Massachusetts Total,,844,844,844,844,844,844,844,844,844,569,569,569,569,569,569,569,569,569,360,360,360,360,360,360,360,
Mexico,California,614,614,614,614,614,614,614,614,614,614,614,614,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Texas,925,925,925,925,925,925,925,925,925,925,925,865,865,865,865,865,865,865,865,350,350,350,350,350,350,
Mexico Total,,"1,539","1,539","1,539","1,539","1,539","1,539","1,539","1,539","1,539","1,539","1,539","1,479",865,865,865,865,865,865,865,350,350,350,350,350,350,
Michigan,Indiana,"1,567","1,567","1,567","1,567","1,567","1,567","1,567","1,567","1,567","1,567","1,567","1,567","1,567","1,567","1,567","1,567","1,567","1,567","1,567","1,567","1,567","1,567","1,417","1,417","1,417","1,273"
,Ohio,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,Ontario,"4,159","4,159","4,159","4,159","4,159","4,159","4,159","4,159","4,159","4,159","3,844","3,844","3,599","3,599","3,599","3,599","3,599","3,319","3,319","1,117","1,117","1,117","1,117",967,467,0
,Wisconsin,"3,086","3,086","3,086","3,086","3,086","3,086","3,086","3,086","3,086","3,086","3,086","3,086","3,086","2,961","2,961","2,961","2,961","2,961","2,961","2,961","2,961","2,835","2,835","2,835","2,835",735
Michigan Total,,"8,912","8,912","8,912","8,912","8,912","8,912","8,912","8,912","8,912","8,912","8,597","8,597","8,352","8,227","8,227","8,227","8,227","7,947","7,947","5,745","5,745","5,619","5,469","5,319","4,819","2,108"
Minnesota,Iowa,"4,125","4,125","4,125","4,125","4,125","4,125","4,125","4,125","4,125","4,125","4,125","4,125","4,125","4,125","4,050","4,050","4,050","3,882","3,882","2,250","2,250","1,575","1,575","1,575","1,575",0
,Manitoba,713,713,713,713,713,713,713,713,,,,,,,,,,,,,,,,,,
,North Dakota,134,101,101,101,101,101,101,101,101,101,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,
,Ontario,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,
,Wisconsin,"2,876","2,876","2,876","2,876","2,876","2,876","2,876","2,876","2,876","2,876","2,876","2,876","2,863","2,863","2,863","2,863","2,863","2,863","2,863","2,863","2,835","2,709","2,647","2,647","2,647",
Minnesota Total,,"7,911","7,878","7,878","7,878","7,878","7,878","7,878","7,878","7,165","7,165","7,127","7,127","7,114","7,114","7,039","7,039","7,039","6,871","6,871","5,239","5,211","4,410","4,348","4,348","4,348",0
Mississippi,Alabama,"19,867","19,798","19,798","19,798","19,753","19,242","19,242","19,117","18,992","18,992","17,459","13,912","13,912","13,912","13,912","13,745","12,867","12,199","12,119","12,119","12,119","12,119","11,974","11,919","11,440",30
,Arkansas,"3,899","3,899","1,508",750,,,,,,,,,,,,,,,,,,,,,,
,Louisiana,"5,015","5,015","2,838","2,279","1,470",920,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,70
,Tennessee,"10,029","10,029","10,029","10,029","10,029","10,029","10,029","10,029","10,029","10,029","10,029","10,029","10,029","10,029","10,029","10,029","10,029","10,029","10,285","10,050","9,743","9,743","9,743","9,743","9,743",8
Mississippi Total,,"38,810","38,741","34,173","32,856","31,252","30,191","29,651","29,526","29,401","29,401","27,868","24,321","24,321","24,321","24,321","24,154","23,276","22,608","22,784","22,549","22,242","22,242","22,097","22,042","21,563",108
Missouri,Arkansas,485,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,
,Illinois,"5,887","5,887","5,887","5,887","5,887","5,887","5,887","5,887","5,887","5,887","4,087","4,087","4,087","4,087","4,087","4,087","4,087","4,087","4,087","4,087","4,087","4,087","4,087","4,087","4,087",
,Iowa,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,
